video_id,channel_id,title,published_date,views,likes,comments,engagement_rate
-s0XdFxtPJ0,UCq-Fj5jknLsUf-MWSy4_brA,Teri Yaad Mein (Video Song) | Agam Kumar Nigam | Nikhil-Vinay | Bewafai,2025-12-10 15:25:37+00:00,36039,444,56,0.0139
2pWyTXONC6s,UCq-Fj5jknLsUf-MWSy4_brA,"Tu Pehli Tu Aakhri (Full Video) Aryan|Shashwat,Arijit,Kumaar|Lakshya,Sahher|The Ba***ds Of Bollywood",2025-12-10 12:31:37+00:00,41611,1385,104,0.0358
Xs4MhaXjT6E,UCq-Fj5jknLsUf-MWSy4_brA,"Badli Si Hawa Hai (Full Video) Aryan |Anirudh,Arijit,Amira|Lakshya,Sahher | The Ba***ds Of Bollywood",2025-12-10 12:31:31+00:00,93896,2536,145,0.0286
r3y47PXH4EY,UCq-Fj5jknLsUf-MWSy4_brA,"GG Ki Ghaintness😎🔥 | Kunal Kemmu, Manoj P, Ayesha R, Prajakta K | Aman P | Single Papa",2025-12-10 10:57:36+00:00,93642,636,16,0.007
rjSr5xtNYqA,UCq-Fj5jknLsUf-MWSy4_brA,The Girlfriend: Gaa De Zara (Full Video) | Rashmika Mandanna | Dheekshithh Shetty | Hesham,2025-12-10 09:00:14+00:00,49766,715,61,0.0156
-2g_sua3s04,UCq-Fj5jknLsUf-MWSy4_brA,The Girlfriend: Bheege Mann (Full Video) | Rashmika Mandanna | Dheekshith Shetty | Hesham | Garima,2025-12-10 09:00:23+00:00,9803,162,25,0.0191
zX44F_-2LgM,UCq-Fj5jknLsUf-MWSy4_brA,The Girlfriend: Dariya (Full Video) | Rashmika Mandanna | Dheekshith Shetty | Hesham | Garima Obrah,2025-12-10 09:00:03+00:00,73727,1393,128,0.0206
CyW5mPIUO7w,UCq-Fj5jknLsUf-MWSy4_brA,The Girlfriend: Chuu Le (Full Video) | Rashmika Mandanna | Dheekshith Shetty | Hesham | Garima Obrah,2025-12-10 09:00:28+00:00,35695,471,46,0.0145
YDX7GxFb0lM,UCq-Fj5jknLsUf-MWSy4_brA,Rahat Hai Tu💘💫: Adnan Sami | Tanishk Bagchi | Shaan Yadav | Bhushan Kumar | #YTShortsIndia,2025-12-10 07:35:47+00:00,238050,1528,18,0.0065
RpEADKQCavA,UCq-Fj5jknLsUf-MWSy4_brA,"RAHAT (Official Music Video): Adnan Sami | Tanishk Bagchi | Shaan Y | Mihir, Kanikka | Bhushan Kumar",2025-12-10 05:30:05+00:00,2172741,25361,1180,0.0122
t2xheYrZPCc,UCq-Fj5jknLsUf-MWSy4_brA,"Vinny Ki Kitaab (Official Trailer) | Aalisha P, Abhishek K, Ssanjay G, Mansi Jain, Afreen Alvi",2025-12-10 03:30:46+00:00,39715,202,15,0.0055
PiL9DWAUzvo,UCq-Fj5jknLsUf-MWSy4_brA,The Girlfriend: Hui Re (Full Video) | Rashmika Mandanna | Rahul R | Deekshith Shetty | Hesham,2025-12-09 16:30:15+00:00,73607,1385,75,0.0198
