channel_name,subscribers,total_videos,total_views,category,stored_video_count
"Sky News",9040000,70014,5520614098,big,116
Gaming,92200000,0,0,big,0
"Saurus Gaming",238000,261,52635761,medium,175
"Coding Play",46900,129,984349,small,129
"1spirit & Theophilus Sunday - Topic",81300,200,20896948,small,194
"Tech Unboxing",1070000,1646,193680922,big,17
"Dashamati Music Bagan",70200,41,12672948,small,41
"Sports Illustrated",600000,14255,303826365,medium,50
"JKrew Gaming",2630000,1180,1796398049,big,75
"Mr Coding",27800,338,2618754,small,320
"beIN SPORTS Türkiye",2540000,15355,1976948753,big,67
"Sri Balaji Kannada Movies",357000,2692,136982743,medium,21
"Musica Music",27700,258,6832895,small,250
"7 Days of Science",45800,90,2677568,small,90
"Do Some Coding",48600,319,5149723,small,150
"SumanTV Finance",242000,9047,56918522,medium,39
"Tech Master",4960000,1318,1415498695,big,99
"TBAG [Epic Gaming]",805000,715,507061050,medium,461
"PSI Gaming",323000,93,27856003,medium,93
"Snax Gaming",2250000,1398,512497324,big,177
"News18 Gujarati",4220000,245817,3323668767,big,126
"Hindi Movies",1000000,615,221893754,big,344
"Sufi Music Studio 1.4M",18600,139,1328058,small,139
"Z gaming",2050000,278,363049360,big,25
"EDUCATION BABA",1910000,2307,177741584,big,12
"Oneindia News",2200000,72754,970426715,big,101
"Financial Jennifer",211000,218,5564415,medium,218
"New Era Technology",290,92,123067,small,82
"JENI GAMING",1370000,1311,409471361,big,72
"Coding Tutorials",16400,188,779932,small,25
"NBC Sports",5150000,44185,5020139255,big,32
"Technology Go",31000,721,8974446,small,275
"HMH Education",14600,254,2483617,small,223
"Introduction to Materials Science and Engineering",76200,158,13962896,small,157
"RakaZone Gaming",506000,1233,89093534,medium,270
"Bloomberg Technology",712000,13131,168600404,medium,18
"KV eDUCATION",613000,1116,110865109,medium,200
"Sri Balaji Hindi Movies",1160000,5507,462273674,big,38
"All Song Bass",77200,75,29087568,small,75
"ABP NEWS",49800000,520666,24023462000,big,116
"Tech Notice",281000,1575,69856628,medium,41
"TNT Sports Brasil",12500000,14223,4035819157,big,61
"Science Sauce",117000,110,17544736,medium,110
"RBE Revolution By Education",1130000,3126,205684944,big,10
"Sri Balaji Tamil Movies",695000,4214,338527656,medium,38
"World Science Festival",1370000,1351,241704942,big,117
"PPTV SPORTS",485000,8382,114332817,medium,34
"The Financial Diet",1300000,1555,178508879,big,78
"Sports - Topic",3760,67,14514982,small,65
"Hindi Movies",8900000,2343,2406129120,big,16
"Progress - Science Documentaries",285000,408,62241434,medium,265
"Computer Science Lessons",244000,362,19929486,medium,75
"Family Tech",39700,327,7193018,small,150
"NOS Sport",184000,2393,128591453,medium,1
"Excelsior News",1200000,47122,396430789,big,25
"Wamindia Movies",14900000,670,3761626540,big,125
"Core-A Gaming",468000,232,67024979,medium,25
"Binoy music dj song .2K Views .1 days


.",374,141,110839,small,140
"Immerse Education",2400,202,725820,small,174
"Little Sports",1360000,1551,259961771,big,25
"Fun Science",808000,149,203766977,medium,149
"Let's Game It Out",6260000,742,1658381392,big,75
"Velian Speaks Tech",54600,2026,20287802,small,3
"Indigo Gaming",200000,64,23066957,medium,64
"Laka Gaming",10900000,3472,1814495691,big,18
"Britannica Education",3890,77,149170,small,77
"Music Travel Love - Topic",48200,174,218436102,small,167
"CBC News",4460000,42279,2753698936,big,103
"Coding Crash Courses",17500,172,1030815,small,170
"Finance Simply Explained",11900,42,322075,small,41
"Theatre of Science",15700,484,521412,small,400
"Sky Sport DE",1680000,10465,942756334,big,9
"Coding Shuttle by Anuj Bhaiya",108000,67,7292239,medium,67
"Brick Technology",2460000,39,440913491,big,39
"News 24",26400000,415087,17182073010,big,124
"Science Magazine",340000,924,84618726,medium,25
"The Finance Geeks",175,44,5876,small,44
"Learn Coding",2360000,1041,277700934,big,75
"Livres et Science",133000,63,6355782,medium,63
"𝗜𝗧𝗦 𝗥𝗕𝗔 𝗠𝗨𝗦𝗜𝗖",3520,27,250974,small,27
